task,solution,time_taken
Task000.json,"[('Dilation', 'SE7'), ('Dilation', 'SE1'), ('Dilation', 'SE6'), ('Dilation', 'SE8'), ('Erosion', 'SE7'), ('Erosion', 'SE1'), ('Erosion', 'SE6'), ('Erosion', 'SE8')]",0.3425137996673584
Task001.json,"[('Dilation', 'SE2'), ('Dilation', 'SE7'), ('Dilation', 'SE7'), ('Dilation', 'SE5'), ('Erosion', 'SE2'), ('Erosion', 'SE7'), ('Erosion', 'SE7'), ('Erosion', 'SE5')]",0.17254996299743652
Task002.json,"[('Dilation', 'SE2'), ('Dilation', 'SE6'), ('Dilation', 'SE7'), ('Dilation', 'SE7'), ('Erosion', 'SE2'), ('Erosion', 'SE6'), ('Erosion', 'SE7'), ('Erosion', 'SE7')]",0.1400308609008789
Task003.json,"[('Dilation', 'SE1'), ('Dilation', 'SE2'), ('Dilation', 'SE2'), ('Dilation', 'SE7'), ('Erosion', 'SE1'), ('Erosion', 'SE2'), ('Erosion', 'SE2'), ('Erosion', 'SE7')]",0.05835890769958496
Task004.json,"[('Dilation', 'SE6'), ('Dilation', 'SE1'), ('Dilation', 'SE2'), ('Dilation', 'SE8'), ('Erosion', 'SE6'), ('Erosion', 'SE1'), ('Erosion', 'SE2'), ('Erosion', 'SE8')]",0.3017141819000244
Task005.json,"[('Dilation', 'SE1'), ('Dilation', 'SE5'), ('Dilation', 'SE6'), ('Dilation', 'SE7'), ('Erosion', 'SE1'), ('Erosion', 'SE5'), ('Erosion', 'SE6'), ('Erosion', 'SE7')]",0.07857179641723633
Task006.json,"[('Dilation', 'SE1'), ('Dilation', 'SE8'), ('Dilation', 'SE5'), ('Dilation', 'SE8'), ('Erosion', 'SE1'), ('Erosion', 'SE8'), ('Erosion', 'SE5'), ('Erosion', 'SE8')]",0.09938597679138184
Task007.json,"[('Dilation', 'SE2'), ('Dilation', 'SE2'), ('Dilation', 'SE6'), ('Dilation', 'SE5'), ('Erosion', 'SE2'), ('Erosion', 'SE2'), ('Erosion', 'SE6'), ('Erosion', 'SE5')]",0.11891770362854004
Task008.json,"[('Dilation', 'SE1'), ('Dilation', 'SE2'), ('Dilation', 'SE8'), ('Dilation', 'SE6'), ('Erosion', 'SE1'), ('Erosion', 'SE2'), ('Erosion', 'SE8'), ('Erosion', 'SE6')]",0.06111502647399902
Task009.json,"[('Dilation', 'SE7'), ('Dilation', 'SE1'), ('Dilation', 'SE7'), ('Dilation', 'SE7'), ('Erosion', 'SE7'), ('Erosion', 'SE1'), ('Erosion', 'SE7'), ('Erosion', 'SE7')]",0.3601799011230469
Task010.json,"[('Dilation', 'SE2'), ('Dilation', 'SE6'), ('Dilation', 'SE8'), ('Dilation', 'SE6'), ('Erosion', 'SE2'), ('Erosion', 'SE6'), ('Erosion', 'SE8'), ('Erosion', 'SE6')]",0.12955498695373535
Task011.json,"[('Dilation', 'SE1'), ('Dilation', 'SE1'), ('Dilation', 'SE5'), ('Dilation', 'SE2'), ('Erosion', 'SE1'), ('Erosion', 'SE1'), ('Erosion', 'SE5'), ('Erosion', 'SE2')]",0.05107474327087402
Task012.json,"[('Dilation', 'SE1'), ('Dilation', 'SE2'), ('Dilation', 'SE7'), ('Dilation', 'SE7'), ('Erosion', 'SE1'), ('Erosion', 'SE2'), ('Erosion', 'SE7'), ('Erosion', 'SE7')]",0.061952829360961914
Task013.json,"[('Dilation', 'SE1'), ('Dilation', 'SE1'), ('Dilation', 'SE8'), ('Dilation', 'SE4'), ('Erosion', 'SE1'), ('Erosion', 'SE1'), ('Erosion', 'SE8'), ('Erosion', 'SE4')]",0.050766944885253906
Task014.json,"[('Dilation', 'SE1'), ('Dilation', 'SE2'), ('Dilation', 'SE6'), ('Dilation', 'SE8'), ('Erosion', 'SE1'), ('Erosion', 'SE2'), ('Erosion', 'SE6'), ('Erosion', 'SE8')]",0.05374312400817871
Task015.json,"[('Dilation', 'SE7'), ('Dilation', 'SE5'), ('Dilation', 'SE7'), ('Dilation', 'SE8'), ('Erosion', 'SE7'), ('Erosion', 'SE5'), ('Erosion', 'SE7'), ('Erosion', 'SE8')]",0.3713550567626953
Task016.json,"[('Dilation', 'SE1'), ('Dilation', 'SE2'), ('Dilation', 'SE5'), ('Dilation', 'SE4'), ('Erosion', 'SE1'), ('Erosion', 'SE2'), ('Erosion', 'SE5'), ('Erosion', 'SE4')]",0.055494070053100586
Task017.json,"[('Dilation', 'SE6'), ('Dilation', 'SE7'), ('Dilation', 'SE8'), ('Dilation', 'SE5'), ('Erosion', 'SE6'), ('Erosion', 'SE7'), ('Erosion', 'SE8'), ('Erosion', 'SE5')]",0.3368649482727051
Task018.json,"[('Dilation', 'SE6'), ('Dilation', 'SE1'), ('Dilation', 'SE2'), ('Dilation', 'SE7'), ('Erosion', 'SE6'), ('Erosion', 'SE1'), ('Erosion', 'SE2'), ('Erosion', 'SE7')]",0.2926771640777588
Task019.json,"[('Dilation', 'SE1'), ('Dilation', 'SE2'), ('Dilation', 'SE8'), ('Dilation', 'SE5'), ('Erosion', 'SE1'), ('Erosion', 'SE2'), ('Erosion', 'SE8'), ('Erosion', 'SE5')]",0.06090116500854492
Task020.json,"[('Dilation', 'SE1'), ('Dilation', 'SE1'), ('Dilation', 'SE1'), ('Dilation', 'SE8'), ('Erosion', 'SE1'), ('Erosion', 'SE1'), ('Erosion', 'SE1'), ('Erosion', 'SE8')]",0.043354034423828125
