Task,Valid_Sequences,Time_Taken
Task048.json,"[('SE1', 'SE7', 'SE7', 'SE5'), ('SE4', 'SE7', 'SE7', 'SE5'), ('SE5', 'SE7', 'SE1', 'SE7'), ('SE5', 'SE7', 'SE4', 'SE7'), ('SE5', 'SE7', 'SE7', 'SE1'), ('SE5', 'SE7', 'SE7', 'SE4'), ('SE7', 'SE1', 'SE7', 'SE5'), ('SE7', 'SE4', 'SE7', 'SE5')]",0.7253062725067139
Task071.json,"[('SE1', 'SE8', 'SE1', 'SE8'), ('SE1', 'SE8', 'SE8', 'SE1'), ('SE8', 'SE1', 'SE1', 'SE8'), ('SE8', 'SE1', 'SE8', 'SE1')]",0.7049450874328613
Task075.json,"[('SE1', 'SE2', 'SE7', 'SE2'), ('SE1', 'SE2', 'SE7', 'SE3'), ('SE1', 'SE3', 'SE7', 'SE2'), ('SE1', 'SE3', 'SE7', 'SE3'), ('SE1', 'SE7', 'SE2', 'SE2'), ('SE1', 'SE7', 'SE2', 'SE3'), ('SE1', 'SE7', 'SE3', 'SE2'), ('SE1', 'SE7', 'SE3', 'SE3'), ('SE2', 'SE1', 'SE7', 'SE2'), ('SE2', 'SE1', 'SE7', 'SE3'), ('SE2', 'SE2', 'SE7', 'SE1'), ('SE2', 'SE3', 'SE7', 'SE1'), ('SE2', 'SE7', 'SE1', 'SE2'), ('SE2', 'SE7', 'SE1', 'SE3'), ('SE2', 'SE7', 'SE2', 'SE1'), ('SE2', 'SE7', 'SE3', 'SE1'), ('SE3', 'SE1', 'SE7', 'SE2'), ('SE3', 'SE1', 'SE7', 'SE3'), ('SE3', 'SE2', 'SE7', 'SE1'), ('SE3', 'SE3', 'SE7', 'SE1'), ('SE3', 'SE7', 'SE1', 'SE2'), ('SE3', 'SE7', 'SE1', 'SE3'), ('SE3', 'SE7', 'SE2', 'SE1'), ('SE3', 'SE7', 'SE3', 'SE1')]",0.7469625473022461
Task068.json,"[('SE2', 'SE7', 'SE8', 'SE8'), ('SE2', 'SE8', 'SE7', 'SE7'), ('SE3', 'SE7', 'SE8', 'SE8'), ('SE3', 'SE8', 'SE7', 'SE7'), ('SE7', 'SE7', 'SE8', 'SE2'), ('SE7', 'SE7', 'SE8', 'SE3'), ('SE8', 'SE8', 'SE7', 'SE2'), ('SE8', 'SE8', 'SE7', 'SE3')]",0.7271902561187744
Task008.json,"[('SE1', 'SE2', 'SE8', 'SE6'), ('SE1', 'SE3', 'SE8', 'SE6'), ('SE1', 'SE8', 'SE2', 'SE6'), ('SE1', 'SE8', 'SE3', 'SE6'), ('SE2', 'SE1', 'SE8', 'SE6'), ('SE2', 'SE4', 'SE8', 'SE6'), ('SE2', 'SE8', 'SE1', 'SE6'), ('SE2', 'SE8', 'SE4', 'SE6'), ('SE3', 'SE1', 'SE8', 'SE6'), ('SE3', 'SE4', 'SE8', 'SE6'), ('SE3', 'SE8', 'SE1', 'SE6'), ('SE3', 'SE8', 'SE4', 'SE6'), ('SE4', 'SE2', 'SE8', 'SE6'), ('SE4', 'SE3', 'SE8', 'SE6'), ('SE4', 'SE8', 'SE2', 'SE6'), ('SE4', 'SE8', 'SE3', 'SE6'), ('SE6', 'SE2', 'SE8', 'SE1'), ('SE6', 'SE2', 'SE8', 'SE4'), ('SE6', 'SE3', 'SE8', 'SE1'), ('SE6', 'SE3', 'SE8', 'SE4'), ('SE6', 'SE8', 'SE1', 'SE2'), ('SE6', 'SE8', 'SE1', 'SE3'), ('SE6', 'SE8', 'SE2', 'SE1'), ('SE6', 'SE8', 'SE2', 'SE4'), ('SE6', 'SE8', 'SE3', 'SE1'), ('SE6', 'SE8', 'SE3', 'SE4'), ('SE6', 'SE8', 'SE4', 'SE2'), ('SE6', 'SE8', 'SE4', 'SE3')]",0.7002139091491699
Task020.json,"[('SE1', 'SE1', 'SE1', 'SE8'), ('SE1', 'SE1', 'SE4', 'SE8'), ('SE1', 'SE4', 'SE1', 'SE8'), ('SE1', 'SE4', 'SE4', 'SE8'), ('SE4', 'SE1', 'SE1', 'SE8'), ('SE4', 'SE1', 'SE4', 'SE8'), ('SE4', 'SE4', 'SE1', 'SE8'), ('SE4', 'SE4', 'SE4', 'SE8'), ('SE8', 'SE1', 'SE1', 'SE1'), ('SE8', 'SE1', 'SE1', 'SE4'), ('SE8', 'SE1', 'SE4', 'SE1'), ('SE8', 'SE1', 'SE4', 'SE4'), ('SE8', 'SE4', 'SE1', 'SE1'), ('SE8', 'SE4', 'SE1', 'SE4'), ('SE8', 'SE4', 'SE4', 'SE1'), ('SE8', 'SE4', 'SE4', 'SE4')]",0.7602832317352295
Task019.json,"[('SE1', 'SE2', 'SE8', 'SE5'), ('SE1', 'SE3', 'SE8', 'SE5'), ('SE1', 'SE8', 'SE2', 'SE5'), ('SE1', 'SE8', 'SE3', 'SE5'), ('SE2', 'SE1', 'SE8', 'SE5'), ('SE2', 'SE4', 'SE8', 'SE5'), ('SE2', 'SE8', 'SE1', 'SE5'), ('SE2', 'SE8', 'SE4', 'SE5'), ('SE3', 'SE1', 'SE8', 'SE5'), ('SE3', 'SE4', 'SE8', 'SE5'), ('SE3', 'SE8', 'SE1', 'SE5'), ('SE3', 'SE8', 'SE4', 'SE5'), ('SE4', 'SE2', 'SE8', 'SE5'), ('SE4', 'SE3', 'SE8', 'SE5'), ('SE4', 'SE8', 'SE2', 'SE5'), ('SE4', 'SE8', 'SE3', 'SE5'), ('SE5', 'SE1', 'SE8', 'SE2'), ('SE5', 'SE1', 'SE8', 'SE3'), ('SE5', 'SE2', 'SE8', 'SE1'), ('SE5', 'SE2', 'SE8', 'SE4'), ('SE5', 'SE2', 'SE8', 'SE8'), ('SE5', 'SE3', 'SE8', 'SE1'), ('SE5', 'SE3', 'SE8', 'SE4'), ('SE5', 'SE3', 'SE8', 'SE8'), ('SE5', 'SE4', 'SE8', 'SE2'), ('SE5', 'SE4', 'SE8', 'SE3'), ('SE5', 'SE8', 'SE1', 'SE2'), ('SE5', 'SE8', 'SE1', 'SE3'), ('SE5', 'SE8', 'SE2', 'SE1'), ('SE5', 'SE8', 'SE2', 'SE4'), ('SE5', 'SE8', 'SE3', 'SE1'), ('SE5', 'SE8', 'SE3', 'SE4'), ('SE5', 'SE8', 'SE4', 'SE2'), ('SE5', 'SE8', 'SE4', 'SE3'), ('SE8', 'SE8', 'SE2', 'SE5'), ('SE8', 'SE8', 'SE3', 'SE5')]",0.7053439617156982
Task024.json,"[('SE2', 'SE2', 'SE2', 'SE4'), ('SE2', 'SE2', 'SE3', 'SE4'), ('SE2', 'SE2', 'SE4', 'SE2'), ('SE2', 'SE2', 'SE4', 'SE3'), ('SE2', 'SE3', 'SE2', 'SE4'), ('SE2', 'SE3', 'SE3', 'SE4'), ('SE2', 'SE3', 'SE4', 'SE2'), ('SE2', 'SE3', 'SE4', 'SE3'), ('SE2', 'SE4', 'SE2', 'SE2'), ('SE2', 'SE4', 'SE2', 'SE3'), ('SE2', 'SE4', 'SE3', 'SE2'), ('SE2', 'SE4', 'SE3', 'SE3'), ('SE3', 'SE2', 'SE2', 'SE4'), ('SE3', 'SE2', 'SE3', 'SE4'), ('SE3', 'SE2', 'SE4', 'SE2'), ('SE3', 'SE2', 'SE4', 'SE3'), ('SE3', 'SE3', 'SE2', 'SE4'), ('SE3', 'SE3', 'SE3', 'SE4'), ('SE3', 'SE3', 'SE4', 'SE2'), ('SE3', 'SE3', 'SE4', 'SE3'), ('SE3', 'SE4', 'SE2', 'SE2'), ('SE3', 'SE4', 'SE2', 'SE3'), ('SE3', 'SE4', 'SE3', 'SE2'), ('SE3', 'SE4', 'SE3', 'SE3'), ('SE4', 'SE2', 'SE2', 'SE2'), ('SE4', 'SE2', 'SE2', 'SE3'), ('SE4', 'SE2', 'SE3', 'SE2'), ('SE4', 'SE2', 'SE3', 'SE3'), ('SE4', 'SE3', 'SE2', 'SE2'), ('SE4', 'SE3', 'SE2', 'SE3'), ('SE4', 'SE3', 'SE3', 'SE2'), ('SE4', 'SE3', 'SE3', 'SE3')]",0.7348024845123291
Task015.json,"[('SE7', 'SE5', 'SE7', 'SE8'), ('SE8', 'SE7', 'SE5', 'SE7')]",0.7232077121734619
Task021.json,"[('SE1', 'SE4', 'SE7', 'SE1'), ('SE1', 'SE4', 'SE7', 'SE4'), ('SE1', 'SE7', 'SE1', 'SE4'), ('SE1', 'SE7', 'SE4', 'SE1'), ('SE1', 'SE7', 'SE4', 'SE4'), ('SE4', 'SE1', 'SE7', 'SE1'), ('SE4', 'SE1', 'SE7', 'SE4'), ('SE4', 'SE4', 'SE7', 'SE1'), ('SE4', 'SE4', 'SE7', 'SE4'), ('SE4', 'SE7', 'SE1', 'SE1'), ('SE4', 'SE7', 'SE1', 'SE4'), ('SE4', 'SE7', 'SE4', 'SE1'), ('SE4', 'SE7', 'SE4', 'SE4')]",0.7466094493865967
